trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
240,False,"{'a': 0.01, 'e': 0.0905935735130877}",20,13,8.575149648430251,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.01, 'e': 0.08969458979033236}",25,13,-21.99145241596164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
242,False,"{'a': 0.01, 'e': 0.08880447910734114}",30,14,26.470567320669534,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.08792315530188645}",20,8,9.58750503192728,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.08705053300632748}",30,11,24.14180755751176,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.08618652764155357}",25,13,24.482834570852795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.08533105541093383}",25,16,12.594610078043281,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08448403329427365}",25,0,32.78477788018553,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.01, 'e': 0.0836453790417806}",20,8,2.1312863532574,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.0828150111680399}",20,4,19.24523053502414,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.08199284894600226}",25,3,-1.3592935319590307,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.0811788124009838}",35,18,22.14195466945678,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.01, 'e': 0.08037282230468101}",20,0,22.490574321735163,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
